year,global_avg_temp,london_avg_temp,dublin_avg_temp
1750,8.72,10.25,9.32
1751,7.98,9.99,9.12
1752,5.78,6.54,6.28
1753,8.39,9.42,8.63
1754,8.47,9.2,8.59
1755,8.36,8.95,8.29
1756,8.85,9.42,8.75
1757,9.02,9.34,8.72
1758,6.74,8.85,7.83
1759,7.99,9.8,8.82
1760,7.19,9.26,8.14
1761,8.77,9.69,8.95
1762,8.61,8.99,8.32
1763,7.5,8.75,7.95
1764,8.4,9.14,8.26
1765,8.25,8.95,8.08
1766,8.41,9.07,8.24
1767,8.22,8.98,8.38
1768,6.78,9.12,8.25
1769,7.69,9.04,8.33
1770,7.69,9.03,8.08
1771,7.85,8.78,8.14
1772,8.19,9.36,8.22
1773,8.22,9.33,8.26
1774,8.77,9.1,8.22
1775,9.18,10.1,9.06
1776,8.3,9.21,8.3
1777,8.26,9.25,8.49
1778,8.54,9.8,8.9
1779,8.98,10.76,9.77
1780,9.43,9.67,9.02
1781,8.1,10.41,9.51
1782,7.9,8.44,7.46
1783,7.68,9.97,8.65
1784,7.86,8.29,7.67
1785,7.36,8.54,8.11
1786,8.26,8.35,7.89
1787,8.03,9.53,8.84
1788,8.45,9.39,8.84
1789,8.33,9.12,8.74
1790,7.98,9.67,8.99
1791,8.23,9.59,8.84
1792,8.09,9.56,8.82
1793,8.23,9.59,8.76
1794,8.53,10,9.13
1795,8.35,9.19,8.41
1796,8.27,9.5,8.68
1797,8.51,9.62,8.66
1798,8.67,9.83,9.14
1799,8.51,7.94,7.56
1800,8.48,9.32,8.47
1801,8.59,9.68,8.88
1802,8.58,9.31,8.65
1803,8.5,8.79,8.47
1804,8.84,9.37,8.8
1805,8.56,8.56,8.52
1806,8.43,9.87,8.73
1807,8.28,9.03,7.97
1808,7.63,8.91,8.17
1809,7.08,8.99,8.02
1810,6.92,8.97,7.9
1811,6.86,10.1,8.64
1812,7.05,8.58,7.72
1813,7.74,9.13,8.33
1814,7.59,7.93,7.45
1815,7.24,8.99,8.09
1816,6.94,7.98,7.2
1817,6.98,8.95,8.01
1818,7.83,9.88,8.88
1819,7.37,9.58,8.41
1820,7.62,8.61,8.12
1821,8.09,9.63,8.97
1822,8.19,10.36,9.14
1823,7.72,8.8,7.96
1824,8.55,9.65,8.74
1825,8.39,9.98,9.11
